Frame,Ball,x,y
0,1,0.443,0.518
1,1,0.442,0.522
2,1,0.442,0.529
3,1,0.44,0.535
4,1,0.44,0.546
5,1,0.44,0.554
6,2,0.0,0.0
7,2,0.0,0.0
8,1,0.518,0.481
9,1,0.537,0.463
10,2,0.0,0.0
11,1,0.567,0.44
12,1,0.581,0.432
13,1,0.593,0.425
14,1,0.602,0.422
15,1,0.613,0.418
16,1,0.62,0.418
17,1,0.631,0.417
18,1,0.637,0.418
19,1,0.642,0.401
20,1,0.648,0.376
21,2,0.0,0.0
22,1,0.655,0.335
23,1,0.66,0.319
24,1,0.664,0.304
25,1,0.667,0.29
26,1,0.67,0.279
27,1,0.673,0.269
28,1,0.672,0.263
29,2,0.0,0.0
30,2,0.0,0.0
31,1,0.626,0.293
32,1,0.613,0.306
33,1,0.598,0.317
34,2,0.0,0.0
35,1,0.567,0.349
36,1,0.552,0.368
37,1,0.535,0.389
38,2,0.0,0.0
39,1,0.502,0.435
40,2,0.0,0.0
41,1,0.47,0.486
42,1,0.448,0.519
43,1,0.434,0.553
44,1,0.416,0.586
45,1,0.398,0.624
46,1,0.38,0.66
47,1,0.361,0.7
48,2,0.0,0.0
49,2,0.0,0.0
50,2,0.0,0.0
51,1,0.284,0.793
52,1,0.294,0.781
53,1,0.31,0.732
54,1,0.326,0.69
55,1,0.343,0.643
56,1,0.356,0.607
57,1,0.371,0.569
58,1,0.382,0.537
59,1,0.394,0.507
60,1,0.407,0.479
61,2,0.0,0.0
62,1,0.43,0.425
63,2,0.0,0.0
64,1,0.446,0.39
65,1,0.454,0.375
66,1,0.463,0.358
67,1,0.471,0.344
68,2,0.0,0.0
69,1,0.484,0.321
70,1,0.491,0.312
71,1,0.497,0.304
72,1,0.504,0.296
73,1,0.51,0.29
74,1,0.515,0.287
75,1,0.519,0.282
76,1,0.524,0.281
77,1,0.53,0.279
78,1,0.534,0.279
79,1,0.539,0.279
80,1,0.543,0.281
81,1,0.547,0.285
82,1,0.552,0.287
83,1,0.555,0.29
84,1,0.559,0.293
85,1,0.562,0.297
86,1,0.565,0.304
87,1,0.568,0.31
88,1,0.572,0.317
89,1,0.574,0.324
90,2,0.0,0.0
91,1,0.58,0.343
92,1,0.581,0.349
93,2,0.0,0.0
94,2,0.0,0.0
95,2,0.0,0.0
96,1,0.582,0.3
97,1,0.583,0.293
98,1,0.583,0.287
99,1,0.583,0.276
100,1,0.584,0.272
101,1,0.584,0.269
102,1,0.584,0.264
103,1,0.583,0.263
104,1,0.584,0.263
105,1,0.585,0.261
106,1,0.584,0.261
107,1,0.584,0.263
108,1,0.585,0.265
109,1,0.586,0.276
110,1,0.589,0.29
111,1,0.591,0.301
112,1,0.593,0.312
113,2,0.0,0.0
114,1,0.598,0.353
115,1,0.601,0.372
116,1,0.604,0.39
117,1,0.607,0.419
118,2,0.0,0.0
119,1,0.613,0.474
120,1,0.618,0.504
121,1,0.622,0.539
122,1,0.625,0.572
123,1,0.63,0.613
124,1,0.634,0.656
125,1,0.639,0.683
126,1,0.642,0.683
127,1,0.645,0.69
128,1,0.648,0.694
129,1,0.652,0.704
130,1,0.656,0.713
131,1,0.662,0.726
132,1,0.664,0.74
133,1,0.669,0.756
134,1,0.673,0.778
135,1,0.678,0.797
136,1,0.682,0.824
137,2,0.0,0.0
138,1,0.669,0.751
139,1,0.661,0.697
140,1,0.652,0.656
141,1,0.644,0.618
142,1,0.635,0.583
143,1,0.631,0.558
144,1,0.624,0.536
145,1,0.617,0.512
146,1,0.612,0.492
147,1,0.605,0.479
148,1,0.603,0.468
149,1,0.597,0.458
150,2,0.0,0.0
151,2,0.0,0.0
152,1,0.584,0.436
153,1,0.58,0.429
154,1,0.576,0.425
155,1,0.573,0.421
156,1,0.57,0.419
157,1,0.566,0.421
158,1,0.562,0.421
159,1,0.56,0.425
160,2,0.0,0.0
161,1,0.555,0.39
162,1,0.552,0.375
163,1,0.549,0.36
164,1,0.548,0.349
165,1,0.546,0.338
166,1,0.543,0.326
167,1,0.541,0.319
168,1,0.539,0.317
169,1,0.537,0.31
170,1,0.535,0.303
171,1,0.534,0.301
172,1,0.53,0.3
173,1,0.53,0.296
174,1,0.535,0.29
175,1,0.537,0.282
176,1,0.542,0.278
177,1,0.545,0.271
178,1,0.548,0.268
179,1,0.552,0.263
180,1,0.557,0.26
181,1,0.561,0.258
182,1,0.565,0.257
183,1,0.57,0.257
184,1,0.573,0.257
185,1,0.578,0.258
186,1,0.582,0.26
187,1,0.588,0.263
188,1,0.591,0.269
189,1,0.596,0.274
190,1,0.6,0.279
191,1,0.606,0.287
192,1,0.61,0.293
193,1,0.616,0.304
194,1,0.619,0.317
195,1,0.625,0.328
196,1,0.631,0.339
197,1,0.637,0.351
198,1,0.643,0.369
199,1,0.647,0.385
200,1,0.653,0.404
201,1,0.658,0.419
202,2,0.0,0.0
203,1,0.671,0.458
204,1,0.677,0.481
205,2,0.0,0.0
206,2,0.0,0.0
207,2,0.0,0.0
208,2,0.0,0.0
209,2,0.0,0.0
210,1,0.712,0.603
211,1,0.717,0.592
212,1,0.722,0.579
213,1,0.725,0.571
214,1,0.73,0.564
215,1,0.735,0.554
216,1,0.739,0.551
217,1,0.743,0.547
218,1,0.747,0.546
219,1,0.752,0.544
220,2,0.0,0.0
221,1,0.762,0.546
222,1,0.765,0.55
223,1,0.77,0.554
224,1,0.774,0.561
225,1,0.779,0.569
226,1,0.784,0.579
227,1,0.788,0.59
228,1,0.793,0.603
229,1,0.797,0.618
230,1,0.802,0.632
231,1,0.804,0.65
232,1,0.809,0.665
233,1,0.812,0.679
234,1,0.816,0.665
235,1,0.82,0.658
236,1,0.824,0.65
237,1,0.829,0.643
