Frame,Ball,x,y
0,1,0.548,0.36
1,1,0.546,0.371
2,1,0.546,0.368
3,1,0.545,0.383
4,1,0.545,0.393
5,1,0.543,0.407
6,1,0.534,0.382
7,1,0.525,0.357
8,1,0.526,0.358
9,1,0.518,0.344
10,1,0.515,0.335
11,1,0.509,0.325
12,1,0.503,0.318
13,2,0.0,0.0
14,2,0.0,0.0
15,2,0.0,0.0
16,1,0.493,0.311
17,1,0.491,0.306
18,1,0.489,0.274
19,1,0.486,0.249
20,1,0.485,0.247
21,1,0.485,0.229
22,1,0.484,0.211
23,1,0.481,0.193
24,1,0.479,0.181
25,1,0.477,0.171
26,1,0.477,0.174
27,1,0.476,0.163
28,1,0.474,0.157
29,1,0.473,0.15
30,1,0.472,0.144
31,1,0.473,0.14
32,1,0.473,0.142
33,1,0.47,0.139
34,1,0.47,0.132
35,1,0.468,0.132
36,1,0.466,0.129
37,1,0.466,0.125
38,1,0.466,0.125
39,1,0.465,0.125
40,1,0.464,0.126
41,1,0.462,0.128
42,1,0.461,0.124
43,1,0.459,0.131
44,1,0.457,0.128
45,1,0.456,0.133
46,1,0.455,0.135
47,1,0.453,0.143
48,1,0.452,0.149
49,1,0.449,0.153
50,1,0.448,0.151
51,1,0.448,0.161
52,1,0.446,0.174
53,1,0.443,0.178
54,1,0.442,0.189
55,1,0.44,0.201
56,1,0.44,0.2
57,1,0.437,0.214
58,1,0.436,0.228
59,1,0.434,0.244
60,1,0.43,0.264
61,1,0.427,0.275
62,1,0.428,0.278
63,1,0.426,0.296
64,1,0.423,0.318
65,1,0.42,0.34
66,1,0.419,0.358
67,1,0.416,0.388
68,1,0.416,0.39
69,1,0.411,0.41
70,1,0.409,0.438
71,1,0.405,0.468
72,1,0.401,0.5
73,1,0.398,0.529
74,1,0.398,0.529
75,1,0.397,0.524
76,1,0.393,0.511
77,1,0.391,0.501
78,1,0.389,0.494
79,1,0.384,0.489
80,1,0.385,0.489
81,1,0.384,0.482
82,1,0.383,0.479
83,1,0.38,0.479
84,1,0.373,0.471
85,1,0.373,0.475
86,1,0.373,0.475
87,1,0.371,0.471
88,1,0.371,0.447
89,1,0.373,0.425
90,1,0.373,0.406
91,1,0.373,0.386
92,1,0.374,0.388
93,1,0.375,0.372
94,1,0.376,0.357
95,1,0.377,0.344
96,1,0.377,0.335
97,1,0.377,0.324
98,1,0.377,0.324
99,1,0.379,0.314
100,1,0.379,0.311
101,1,0.379,0.306
102,1,0.38,0.303
103,1,0.38,0.301
104,2,0.0,0.0
105,2,0.0,0.0
106,1,0.38,0.297
107,1,0.381,0.297
108,2,0.0,0.0
109,1,0.381,0.301
110,1,0.383,0.303
111,1,0.382,0.308
112,1,0.383,0.312
113,1,0.384,0.317
114,1,0.383,0.322
115,2,0.0,0.0
116,1,0.383,0.329
117,1,0.384,0.338
118,1,0.384,0.346
119,1,0.384,0.357
120,1,0.38,0.346
121,2,0.0,0.0
122,1,0.382,0.329
123,1,0.38,0.319
124,1,0.38,0.311
125,1,0.379,0.306
126,1,0.377,0.296
127,1,0.375,0.29
128,1,0.376,0.289
129,1,0.375,0.287
130,1,0.374,0.285
131,1,0.373,0.285
132,1,0.372,0.281
133,1,0.37,0.281
134,1,0.371,0.281
135,1,0.371,0.281
136,1,0.37,0.285
